userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
23582,96,191,195,199,202,178,134,23582,8,1,2,4,5,4,1,23582,2,10,8,3,,2,1,23582,44,47,47,45,46,47,45,23582,25.000,16.250,20.000,15.000,25.000,27.500,,23582,2,7,4,6,1,3,
12197,83,80,75,54,143,171,58,,,,,,,,,,,,,,,,,12197,29,21,22,19,27,25,24,12197,25.000,35.000,29.000,15.000,20.000,28.333,,12197,1,12,12,1,9,9,
20605,29,92,176,193,75,49,74,20605,,,2,,,,,,,,,,,,,20605,22,22,21,33,20,21,28,20605,0.000,13.000,,20.000,25.000,25.000,8.333,20605,5,7,,4,2,6,4
23058,533,636,537,726,361,686,437,23058,,,,1,,,,,,,,,,,,23058,21,24,7,18,14,24,17,23058,,,,7.500,,0.000,20.000,23058,,,,9,,1,2
6409,120,193,147,203,143,246,170,6409,1,3,,3,,1,1,,,,,,,,,6409,14,21,17,20,13,16,26,6409,19.000,25.000,20.000,30.833,25.000,19.000,,6409,1,1,4,9,6,6,
24218,,141,283,63,51,394,151,,,,,,,,,,,,,,,,,24218,,15,17,8,14,31,22,24218,,7.500,0.000,0.000,,25.000,20.000,24218,,4,1,1,,2,20
23422,155,57,90,60,4,,,,,,,,,,,,,,,,,,,23422,16,4,8,5,2,0,0,23422,,25.000,20.000,,,,,23422,,4,7,,,,
22766,531,431,489,225,24,,,,,,,,,,,,,,,,,,,22766,18,23,22,17,10,0,0,22766,25.000,,30.222,6.400,,,,22766,2,,45,27,,,
13974,239,130,93,121,189,145,164,,,,,,,,,,,,,,,,,13974,35,36,33,21,38,30,36,13974,12.500,12.500,25.000,30.714,25.000,20.000,10.000,13974,5,4,2,11,2,9,1
9496,158,178,214,330,242,181,250,9496,,,,,1,1,,,,,,,,,,9496,29,24,21,24,25,24,25,9496,,,,,,,0.000,9496,,,,,,,1
