userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4
22372,197,108,97,125,,,,,,,,,,,22372,30,23,33,29,22372,26.000,30.625,25.000,27.500,22372,9,19,20,13
21294,111,281,385,56,,,,,,21294,,,1,,21294,22,32,34,24,21294,25.000,22.857,24.000,8.333,21294,2,17,42,4
25396,187,156,80,,25396,,,1,,,,,,,25396,11,12,9,0,25396,20.000,17.500,10.000,,25396,19,5,1,
25792,13,120,137,,,,,,,,,,,,25792,0,5,5,0,25792,,25.000,10.000,,25792,,2,2,
25976,,292,439,64,,,,,,,,,,,25976,0,24,29,19,25976,,,18.333,,25976,,,5,
6510,466,455,789,600,,,,,,,,,,,6510,32,32,33,35,6510,25.000,22.000,30.000,20.000,6510,4,8,9,29
21964,226,275,227,120,,,,,,,,,,,21964,20,21,15,15,21964,,,19.333,,21964,,,39,
6807,254,157,350,197,6807,1,,,,,,,,,6807,25,16,23,23,6807,,,25.294,,6807,,,42,
19185,3,3,20,7,,,,,,,,,,,19185,28,29,24,24,19185,,,16.666,,19185,,,21,
21834,101,159,296,59,21834,2,1,,,,,,,,21834,27,27,37,11,21834,,20.000,10.000,,21834,,10,5,
20434,240,343,500,280,,,,,,,,,,,20434,18,22,32,27,20434,25.000,25.416,10.000,14.000,20434,2,21,2,9
23092,640,771,674,449,,,,,,,,,,,23092,27,31,27,26,23092,,,31.250,,23092,,,77,
18072,115,213,218,138,,,,,,,,,,,18072,27,33,25,29,18072,,,23.333,,18072,,,27,
5647,193,327,287,118,5647,1,1,,,,,,,,5647,17,22,25,18,5647,43.750,40.000,0.000,,5647,4,1,3,
25502,41,44,239,45,25502,,,1,,,,,,,25502,4,11,26,3,25502,25.000,,,,25502,1,,,
